Common.Name,Code,Group
Abert's Towhee,ABTO,aridlands
Acadian Flycatcher,ACFL,eastern_forests
Acorn Woodpecker,ACWO,western_forests
Alder Flycatcher,ALFL,boreal_forests
Allen's Hummingbird,ALHU,aridlands
Altamira Oriole,ALOR,subtropical_forests
American Avocet,AMAV,marshlands
American Bittern,AMBI,marshlands
American Black Duck,ABDU,waterbirds
American Coot,AMCO,marshlands
American Crow,AMCR,generalists
American Dipper,AMDI,western_forests
American Golden-Plover,AMGP,waterbirds
American Goldfinch,AMGO,generalists
American Kestrel,AMKE,generalists
American Oystercatcher,AMOY,coastal
American Pipit,AMPI,arctic
American Redstart,AMRE,boreal_forests
American Robin,AMRO,generalists
American Three-toed Woodpecker,ATTW,boreal_forests
American Tree Sparrow,ATSP,arctic
American White Pelican,AWPE,marshlands
American Wigeon,AMWI,marshlands
American Woodcock,AMWO,eastern_forests
Ancient Murrelet,ANMU,coastal
Anhinga,ANHI,marshlands
Anna's Hummingbird,ANHU,generalists
Aplomado Falcon,APFA,grasslands
Arctic Tern,ARTE,waterbirds
Arctic Warbler,ARWA,arctic
Arizona Woodpecker,ARWO,subtropical_forests
Ash-throated Flycatcher,ATFL,aridlands
Audubon's Oriole,AUOR,subtropical_forests
Bachman's Sparrow,BACS,eastern_forests
Baird's Sandpiper,BASA,waterbirds
Baird's Sparrow,BAIS,grasslands
Bald Eagle,BAEA,generalists
Baltimore Oriole,BAOR,eastern_forests
Band-tailed Pigeon,BTPI,western_forests
Bank Swallow,BANS,generalists
Barn Owl,BANO,generalists
Barn Swallow,BARS,generalists
Barred Owl,BADO,eastern_forests
Barrow's Goldeneye,BAGO,waterbirds
Bay-breasted Warbler,BBWA,boreal_forests
Bell's Sparrow,BESP,aridlands
Bell's Vireo,BEVI,aridlands
Belted Kingfisher,BEKI,generalists
Bendire's Thrasher,BETH,aridlands
Bewick's Wren,BEWR,aridlands
Black Guillemot,BLGU,coastal
Black Oystercatcher,BLOY,coastal
Black Phoebe,BLPH,generalists
Black Rail,BLRA,marshlands
Black Rosy-Finch,BLRF,arctic
Black Scoter,BLSC,coastal
Black Skimmer,BLSK,coastal
