"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english"
"Abert's Towhee","ABTO","aridlands",5920,"Abert's Towhee",TRUE,TRUE,TRUE,"Abert's Towhee"
"Acadian Flycatcher","ACFL","eastern_forests",4650,"Acadian Flycatcher",TRUE,TRUE,TRUE,"Acadian Flycatcher"
"Acorn Woodpecker","ACWO","western_forests",4070,"Acorn Woodpecker",TRUE,TRUE,TRUE,"Acorn Woodpecker"
"Alder Flycatcher","ALFL","boreal_forests",4661,"Alder Flycatcher",TRUE,TRUE,TRUE,"Alder Flycatcher"
"Allen's Hummingbird","ALHU","aridlands",4340,"Allen's Hummingbird",TRUE,TRUE,TRUE,"Allen's Hummingbird"
"Altamira Oriole","ALOR","subtropical_forests",5031,"Altamira Oriole",TRUE,TRUE,TRUE,"Altamira Oriole"
"American Avocet","AMAV","marshlands",2250,"American Avocet",TRUE,TRUE,TRUE,"American Avocet"
"American Bittern","AMBI","marshlands",1900,"American Bittern",TRUE,TRUE,TRUE,"American Bittern"
"American Black Duck","ABDU","waterbirds",1330,"American Black Duck",TRUE,TRUE,TRUE,"American Black Duck"
"American Coot","AMCO","marshlands",2210,"American Coot",TRUE,TRUE,TRUE,"American Coot"
"American Crow","AMCR","generalists",4880,"American Crow",TRUE,TRUE,TRUE,"American Crow"
"American Dipper","AMDI","western_forests",7010,"American Dipper",TRUE,TRUE,TRUE,"American Dipper"
"American Golden-Plover","AMGP","waterbirds",2720,"American Golden-Plover",TRUE,TRUE,TRUE,"American Golden-Plover"
"American Goldfinch","AMGO","generalists",5290,"American Goldfinch",TRUE,TRUE,TRUE,"American Goldfinch"
"American Kestrel","AMKE","generalists",3600,"American Kestrel",TRUE,TRUE,TRUE,"American Kestrel"
"American Oystercatcher","AMOY","coastal",2860,"American Oystercatcher",TRUE,TRUE,TRUE,"American Oystercatcher"
"American Pipit","AMPI","arctic",6970,"American Pipit",TRUE,TRUE,TRUE,"American Pipit"
"American Redstart","AMRE","boreal_forests",6870,"American Redstart",TRUE,TRUE,TRUE,"American Redstart"
"American Robin","AMRO","generalists",7610,"American Robin",TRUE,TRUE,TRUE,"American Robin"
"American Three-toed Woodpecker","ATTW","boreal_forests",4010,"American Three-toed Woodpecker",TRUE,TRUE,TRUE,"American Three-toed Woodpecker"
"American Tree Sparrow","ATSP","arctic",5590,"American Tree Sparrow",TRUE,TRUE,TRUE,"American Tree Sparrow"
"American White Pelican","AWPE","marshlands",1250,"American White Pelican",TRUE,TRUE,TRUE,"American White Pelican"
"American Wigeon","AMWI","marshlands",1370,"American Wigeon",TRUE,TRUE,TRUE,"American Wigeon"
"American Woodcock","AMWO","eastern_forests",2280,"American Woodcock",TRUE,TRUE,TRUE,"American Woodcock"
"Ancient Murrelet","ANMU","coastal",210,"Ancient Murrelet",TRUE,TRUE,TRUE,"Ancient Murrelet"
"Anhinga","ANHI","marshlands",1180,"Anhinga",TRUE,TRUE,TRUE,"Anhinga"
"Anna's Hummingbird","ANHU","generalists",4310,"Anna's Hummingbird",TRUE,TRUE,TRUE,"Anna's Hummingbird"
"Aplomado Falcon","APFA","grasslands",3590,"Aplomado Falcon",TRUE,TRUE,TRUE,"Aplomado Falcon"
"Arctic Tern","ARTE","waterbirds",710,"Arctic Tern",TRUE,TRUE,TRUE,"Arctic Tern"
"Arctic Warbler","ARWA","arctic",7470,"Arctic Warbler",TRUE,TRUE,TRUE,"Arctic Warbler"
"Arizona Woodpecker","ARWO","subtropical_forests",3980,"Arizona Woodpecker",FALSE,TRUE,TRUE,"Arizona Woodpecker"
"Ash-throated Flycatcher","ATFL","aridlands",4540,"Ash-throated Flycatcher",TRUE,TRUE,TRUE,"Ash-throated Flycatcher"
"Audubon's Oriole","AUOR","subtropical_forests",5030,"Audubon's Oriole",TRUE,TRUE,TRUE,"Audubon's Oriole"
"Bachman's Sparrow","BACS","eastern_forests",5750,"Bachman's Sparrow",TRUE,TRUE,TRUE,"Bachman's Sparrow"
"Baird's Sandpiper","BASA","waterbirds",2410,"Baird's Sandpiper",TRUE,TRUE,TRUE,"Baird's Sandpiper"
"Baird's Sparrow","BAIS","grasslands",5450,"Baird's Sparrow",TRUE,TRUE,TRUE,"Baird's Sparrow"
"Bald Eagle","BAEA","generalists",3520,"Bald Eagle",TRUE,TRUE,TRUE,"Bald Eagle"
"Baltimore Oriole","BAOR","eastern_forests",5070,"Baltimore Oriole",TRUE,TRUE,TRUE,"Baltimore Oriole"
"Band-tailed Pigeon","BTPI","western_forests",3120,"Band-tailed Pigeon",TRUE,TRUE,TRUE,"Band-tailed Pigeon"
"Bank Swallow","BANS","generalists",6160,"Bank Swallow",TRUE,TRUE,TRUE,"Bank Swallow"
"Barn Owl","BANO","generalists",NA,NA,FALSE,FALSE,FALSE,NA
"Barn Swallow","BARS","generalists",6130,"Barn Swallow",TRUE,TRUE,TRUE,"Barn Swallow"
"Barred Owl","BADO","eastern_forests",NA,NA,FALSE,TRUE,TRUE,"Barred Owl"
"Barrow's Goldeneye","BAGO","waterbirds",1520,"Barrow's Goldeneye",TRUE,TRUE,TRUE,"Barrow's Goldeneye"
"Bay-breasted Warbler","BBWA","boreal_forests",6600,"Bay-breasted Warbler",TRUE,TRUE,TRUE,"Bay-breasted Warbler"
"Bell's Sparrow","BESP","aridlands",5744,"Bell's Sparrow",FALSE,TRUE,TRUE,"Bell's Sparrow"
"Bell's Vireo","BEVI","aridlands",6330,"Bell's Vireo",TRUE,TRUE,TRUE,"Bell's Vireo"
"Belted Kingfisher","BEKI","generalists",3900,"Belted Kingfisher",TRUE,TRUE,TRUE,"Belted Kingfisher"
"Bendire's Thrasher","BETH","aridlands",7080,"Bendire's Thrasher",TRUE,TRUE,TRUE,"Bendire's Thrasher"
"Bewick's Wren","BEWR","aridlands",7190,"Bewick's Wren",TRUE,TRUE,TRUE,"Bewick's Wren"
"Black Guillemot","BLGU","coastal",270,"Black Guillemot",TRUE,TRUE,TRUE,"Black Guillemot"
"Black Oystercatcher","BLOY","coastal",2870,"Black Oystercatcher",TRUE,TRUE,TRUE,"Black Oystercatcher"
"Black Phoebe","BLPH","generalists",4580,"Black Phoebe",TRUE,TRUE,TRUE,"Black Phoebe"
"Black Rail","BLRA","marshlands",2160,"Black Rail",TRUE,TRUE,TRUE,"Black Rail"
"Black Rosy-Finch","BLRF","arctic",5250,"Black Rosy-Finch",TRUE,TRUE,TRUE,"Black Rosy-Finch"
"Black Scoter","BLSC","coastal",1630,"Black Scoter",TRUE,TRUE,TRUE,"Black Scoter"
"Black Skimmer","BLSK","coastal",800,"Black Skimmer",TRUE,TRUE,TRUE,"Black Skimmer"
"Black Swift","BLSW","western_forests",4220,"Black Swift",TRUE,TRUE,TRUE,"Black Swift"
"Black Tern","BLTE","marshlands",770,"Black Tern",TRUE,TRUE,TRUE,"Black Tern"
"Black Turnstone","BLTU","coastal",2840,"Black Turnstone",TRUE,TRUE,TRUE,"Black Turnstone"
"Black Turnstone","BLTU","waterbirds",2840,"Black Turnstone",TRUE,TRUE,TRUE,"Black Turnstone"
"Black Vulture","BLVU","generalists",3260,"Black Vulture",TRUE,TRUE,TRUE,"Black Vulture"
"Black-and-white Warbler","BAWW","eastern_forests",6360,"Black-and-white Warbler",TRUE,TRUE,TRUE,"Black-and-white Warbler"
"Black-backed Woodpecker","BBWO","boreal_forests",4000,"Black-backed Woodpecker",TRUE,TRUE,TRUE,"Black-backed Woodpecker"
"Black-bellied Plover","BBPL","waterbirds",2700,"Black-bellied Plover",TRUE,TRUE,TRUE,"Black-bellied Plover"
"Black-bellied Whistling-Duck","BBWD","marshlands",1770,"Black-bellied Whistling-Duck",TRUE,TRUE,TRUE,"Black-bellied Whistling-Duck"
"Black-billed Cuckoo","BBCU","eastern_forests",3880,"Black-billed Cuckoo",TRUE,TRUE,TRUE,"Black-billed Cuckoo"
"Black-billed Magpie","BBMA","generalists",4750,"Black-billed Magpie",TRUE,TRUE,TRUE,"Black-billed Magpie"
"Blackburnian Warbler","BLBW","boreal_forests",6620,"Blackburnian Warbler",TRUE,TRUE,TRUE,"Blackburnian Warbler"
"Black-capped Chickadee","BCCH","boreal_forests",7350,"Black-capped Chickadee",TRUE,TRUE,TRUE,"Black-capped Chickadee"
"Black-capped Vireo","BCVI","aridlands",6300,"Black-capped Vireo",TRUE,TRUE,TRUE,"Black-capped Vireo"
"Black-chinned Hummingbird","BCHU","aridlands",4290,"Black-chinned Hummingbird",TRUE,TRUE,TRUE,"Black-chinned Hummingbird"
"Black-chinned Sparrow","BCSP","aridlands",5650,"Black-chinned Sparrow",TRUE,TRUE,TRUE,"Black-chinned Sparrow"
"Black-crested Titmouse","BCTI","subtropical_forests",7320,"Black-crested Titmouse",TRUE,TRUE,TRUE,"Black-crested Titmouse"
"Black-crowned Night-Heron","BCNH","marshlands",2020,"Black-crowned Night-Heron",TRUE,FALSE,TRUE,"Black-crowned Night Heron"
"Black-headed Grosbeak","BHGR","western_forests",5960,"Black-headed Grosbeak",TRUE,TRUE,TRUE,"Black-headed Grosbeak"
"Black-headed Gull","BHGU","coastal",551,"Black-headed Gull",TRUE,TRUE,TRUE,"Black-headed Gull"
"Black-legged Kittiwake","BLKI","coastal",400,"Black-legged Kittiwake",TRUE,TRUE,TRUE,"Black-legged Kittiwake"
"Black-necked Stilt","BNST","marshlands",2260,"Black-necked Stilt",TRUE,TRUE,TRUE,"Black-necked Stilt"
"Blackpoll Warbler","BLPW","boreal_forests",6610,"Blackpoll Warbler",TRUE,TRUE,TRUE,"Blackpoll Warbler"
"Black-tailed Gnatcatcher","BTGN","aridlands",7520,"Black-tailed Gnatcatcher",TRUE,TRUE,TRUE,"Black-tailed Gnatcatcher"
"Black-throated Blue Warbler","BTBW","eastern_forests",6540,"Black-throated Blue Warbler",TRUE,TRUE,TRUE,"Black-throated Blue Warbler"
"Black-throated Gray Warbler","BTYW","western_forests",6650,"Black-throated Gray Warbler",TRUE,TRUE,TRUE,"Black-throated Gray Warbler"
"Black-throated Green Warbler","BTNW","eastern_forests",6670,"Black-throated Green Warbler",TRUE,TRUE,TRUE,"Black-throated Green Warbler"
"Black-throated Sparrow","BTSP","aridlands",5730,"Black-throated Sparrow",TRUE,TRUE,TRUE,"Black-throated Sparrow"
"Black-vented Shearwater","BVSH","coastal",930,"Black-vented Shearwater",FALSE,FALSE,FALSE,NA
"Blue Grosbeak","BLGR","subtropical_forests",5970,"Blue Grosbeak",TRUE,TRUE,TRUE,"Blue Grosbeak"
"Blue Jay","BLJA","eastern_forests",4770,"Blue Jay",TRUE,TRUE,TRUE,"Blue Jay"
"Blue-gray Gnatcatcher","BGGN","generalists",7510,"Blue-gray Gnatcatcher",TRUE,TRUE,TRUE,"Blue-gray Gnatcatcher"
"Blue-headed Vireo","BHVI","eastern_forests",6290,"Blue-headed Vireo",TRUE,TRUE,TRUE,"Blue-headed Vireo"
"Blue-winged Teal","BWTE","marshlands",1400,"Blue-winged Teal",TRUE,TRUE,TRUE,"Blue-winged Teal"
"Blue-winged Warbler","BWWA","eastern_forests",6410,"Blue-winged Warbler",TRUE,TRUE,TRUE,"Blue-winged Warbler"
"Boat-tailed Grackle","BTGR","coastal",5130,"Boat-tailed Grackle",TRUE,TRUE,TRUE,"Boat-tailed Grackle"
"Bobolink","BOBO","grasslands",4940,"Bobolink",TRUE,TRUE,TRUE,"Bobolink"
"Bohemian Waxwing","BOWA","boreal_forests",6180,"Bohemian Waxwing",TRUE,TRUE,TRUE,"Bohemian Waxwing"
"Bonaparte's Gull","BOGU","waterbirds",600,"Bonaparte's Gull",TRUE,TRUE,TRUE,"Bonaparte's Gull"
"Boreal Chickadee","BOCH","boreal_forests",7400,"Boreal Chickadee",TRUE,TRUE,TRUE,"Boreal Chickadee"
"Boreal Owl","BOOW","boreal_forests",3710,"Boreal Owl",TRUE,TRUE,TRUE,"Boreal Owl"
"Botteri's Sparrow","BOSP","grasslands",5760,"Botteri's Sparrow",TRUE,TRUE,TRUE,"Botteri's Sparrow"
"Brandt's Cormorant","BRAC","coastal",1220,"Brandt's Cormorant",TRUE,TRUE,TRUE,"Brandt's Cormorant"
"Brant","BRAN","waterbirds",NA,NA,FALSE,TRUE,TRUE,"Brant"
"Brewer's Blackbird","BRBL","generalists",5100,"Brewer's Blackbird",TRUE,TRUE,TRUE,"Brewer's Blackbird"
"Brewer's Sparrow","BRSP","aridlands",5620,"Brewer's Sparrow",TRUE,TRUE,TRUE,"Brewer's Sparrow"
"Bridled Titmouse","BRTI","subtropical_forests",7340,"Bridled Titmouse",TRUE,TRUE,TRUE,"Bridled Titmouse"
"Broad-billed Hummingbird","BBIH","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Broad-billed Hummingbird"
"Broad-tailed Hummingbird","BTAH","western_forests",NA,NA,FALSE,TRUE,TRUE,"Broad-tailed Hummingbird"
"Broad-winged Hawk","BWHA","eastern_forests",3430,"Broad-winged Hawk",TRUE,TRUE,TRUE,"Broad-winged Hawk"
"Bronzed Cowbird","BROC","aridlands",4960,"Bronzed Cowbird",TRUE,TRUE,TRUE,"Bronzed Cowbird"
"Brown Creeper","BRCR","western_forests",7260,"Brown Creeper",TRUE,TRUE,TRUE,"Brown Creeper"
"Brown Pelican","BRPE","coastal",1260,"Brown Pelican",TRUE,TRUE,TRUE,"Brown Pelican"
"Brown Thrasher","BRTH","eastern_forests",7050,"Brown Thrasher",TRUE,TRUE,TRUE,"Brown Thrasher"
"Brown-capped Rosy-Finch","BCRF","arctic",5260,"Brown-capped Rosy-Finch",TRUE,TRUE,TRUE,"Brown-capped Rosy-Finch"
"Brown-crested Flycatcher","BCFL","aridlands",4530,"Brown-crested Flycatcher",TRUE,TRUE,TRUE,"Brown-crested Flycatcher"
"Brown-headed Cowbird","BHCO","generalists",4950,"Brown-headed Cowbird",TRUE,TRUE,TRUE,"Brown-headed Cowbird"
"Brown-headed Nuthatch","BHNU","eastern_forests",7290,"Brown-headed Nuthatch",TRUE,TRUE,TRUE,"Brown-headed Nuthatch"
"Buff-bellied Hummingbird","BBEH","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Buff-bellied Hummingbird"
"Buff-breasted Sandpiper","BBSA","waterbirds",2620,"Buff-breasted Sandpiper",TRUE,TRUE,TRUE,"Buff-breasted Sandpiper"
"Bufflehead","BUFF","waterbirds",1530,"Bufflehead",TRUE,TRUE,TRUE,"Bufflehead"
